i,A
Anhui,7214017.0
Beijing,45917.0
Chongqing,1318686.0
Fujian,677254.0
Gansu,1876729.0
Guangdong,1999820.0
Guangxi,2521823.0
Guizhou,1641100.0
Hainan,232843.0
Hebei,5834873.0
Heilongjiang,14331905.0
Henan,10514880.0
Hubei,4311822.0
Hunan,4552260.0
Inner_Mongolia,5844442.0
Jiangsu,5322737.0
Jiangxi,3646480.0
Jilin,5522816.0
Liaoning,3338962.0
Ningxia,489130.00000000006
Qinghai,131070.0
Shaanxi,2436987.0
Shandong,8111035.0
Shanghai,113347.0
Shanxi,2464385.0
Sichuan,4901950.0
Tianjin,340661.0
Tibet,40458.99999999999
Xinjiang,2200380.0
Yunnan,3425991.0
Zhejiang,908472.0
