i,c,sys,value
Anhui,maize,spring,0.075
Anhui,maize,summer,0.175
Anhui,rice,early_double,0.06
Anhui,rice,late_double,0.06
Anhui,rice,single,0.18
Anhui,soybean,single,0.15
Anhui,wheat,winter,0.3
Beijing,maize,single,0.08
Beijing,maize,spring,0.2
Beijing,maize,summer,0.12
Beijing,rice,single,0.0
Beijing,soybean,single,0.12
Beijing,soybean,spring,0.03
Beijing,wheat,spring,0.135
Beijing,wheat,winter,0.315
Chongqing,maize,single,0.14
Chongqing,maize,spring,0.03
Chongqing,maize,summer,0.03
Chongqing,rice,single,0.4675
Chongqing,rice,spring,0.0825
Chongqing,soybean,single,0.1
Chongqing,wheat,winter,0.15
Fujian,maize,single,0.07
Fujian,maize,spring,0.015
Fujian,maize,summer,0.015
Fujian,rice,early_double,0.3
Fujian,rice,late_double,0.3
Fujian,rice,single,0.15
Fujian,soybean,single,0.1
Fujian,wheat,winter,0.05
Gansu,maize,single,0.08
Gansu,maize,spring,0.32
Gansu,rice,single,0.05
Gansu,soybean,single,0.08
Gansu,soybean,spring,0.02
Gansu,wheat,spring,0.36
Gansu,wheat,winter,0.09
Guangdong,maize,single,0.07
Guangdong,maize,spring,0.015
Guangdong,maize,summer,0.015
Guangdong,rice,early_double,0.3
Guangdong,rice,late_double,0.3
Guangdong,rice,single,0.15
Guangdong,soybean,single,0.1
Guangdong,wheat,winter,0.05
Guangxi,maize,single,0.105
Guangxi,maize,spring,0.0225
Guangxi,maize,summer,0.0225
Guangxi,rice,early_double,0.28
Guangxi,rice,late_double,0.28
Guangxi,rice,single,0.14
Guangxi,soybean,single,0.1
Guangxi,wheat,winter,0.05
Guizhou,maize,single,0.175
Guizhou,maize,spring,0.0375
Guizhou,maize,summer,0.0375
Guizhou,rice,single,0.3825
Guizhou,rice,spring,0.0675
Guizhou,soybean,single,0.15
Guizhou,wheat,winter,0.15
Hainan,maize,single,0.07
Hainan,maize,spring,0.015
Hainan,maize,summer,0.015
Hainan,rice,early_double,0.32
Hainan,rice,late_double,0.32
Hainan,rice,single,0.16
Hainan,soybean,single,0.05
Hainan,wheat,winter,0.05
Hebei,maize,spring,0.135
Hebei,maize,summer,0.315
Hebei,rice,single,0.05
Hebei,soybean,single,0.12
Hebei,soybean,spring,0.03
Hebei,wheat,winter,0.35
Heilongjiang,maize,single,0.08
Heilongjiang,maize,spring,0.32
Heilongjiang,rice,single,0.1275
Heilongjiang,rice,spring,0.0225
Heilongjiang,soybean,single,0.21
Heilongjiang,soybean,spring,0.14
Heilongjiang,wheat,spring,0.08
Heilongjiang,wheat,winter,0.02
Henan,maize,spring,0.12
Henan,maize,summer,0.28
Henan,rice,single,0.1
Henan,soybean,single,0.08
Henan,soybean,spring,0.02
Henan,wheat,winter,0.4
Hubei,maize,single,0.04
Hubei,maize,spring,0.1
Hubei,maize,summer,0.06
Hubei,rice,early_double,0.09
Hubei,rice,late_double,0.09
Hubei,rice,single,0.27
Hubei,soybean,single,0.15
Hubei,wheat,winter,0.2
Hunan,maize,single,0.07
Hunan,maize,spring,0.015
Hunan,maize,summer,0.015
Hunan,rice,early_double,0.26
Hunan,rice,late_double,0.26
Hunan,rice,single,0.13
Hunan,soybean,single,0.15
Hunan,wheat,winter,0.1
Inner_Mongolia,maize,single,0.09
Inner_Mongolia,maize,spring,0.36
Inner_Mongolia,rice,single,0.05
Inner_Mongolia,soybean,single,0.12
Inner_Mongolia,soybean,spring,0.08
Inner_Mongolia,wheat,spring,0.24
Inner_Mongolia,wheat,winter,0.06
Jiangsu,maize,spring,0.075
Jiangsu,maize,summer,0.175
Jiangsu,rice,early_double,0.07
Jiangsu,rice,late_double,0.07
Jiangsu,rice,single,0.21
Jiangsu,soybean,single,0.1
Jiangsu,wheat,winter,0.3
Jiangxi,maize,single,0.07
Jiangxi,maize,spring,0.015
Jiangxi,maize,summer,0.015
Jiangxi,rice,early_double,0.28
Jiangxi,rice,late_double,0.28
Jiangxi,rice,single,0.14
Jiangxi,soybean,single,0.1
Jiangxi,wheat,winter,0.1
Jilin,maize,single,0.09
Jilin,maize,spring,0.36
Jilin,rice,single,0.0425
Jilin,rice,spring,0.0075
Jilin,soybean,single,0.18
Jilin,soybean,spring,0.12
Jilin,wheat,spring,0.16
Jilin,wheat,winter,0.04
Liaoning,maize,single,0.09
Liaoning,maize,spring,0.36
Liaoning,rice,single,0.1275
Liaoning,rice,spring,0.0225
Liaoning,soybean,single,0.12
Liaoning,soybean,spring,0.08
Liaoning,wheat,spring,0.16
Liaoning,wheat,winter,0.04
Ningxia,maize,single,0.07
Ningxia,maize,spring,0.28
Ningxia,rice,single,0.15
Ningxia,soybean,single,0.08
Ningxia,soybean,spring,0.02
Ningxia,wheat,spring,0.32
Ningxia,wheat,winter,0.08
Qinghai,maize,single,0.05
Qinghai,maize,spring,0.2
Qinghai,rice,single,0.0
Qinghai,soybean,single,0.12
Qinghai,soybean,spring,0.03
Qinghai,wheat,spring,0.48
Qinghai,wheat,winter,0.12
Shaanxi,maize,single,0.08
Shaanxi,maize,spring,0.2
Shaanxi,maize,summer,0.12
Shaanxi,rice,single,0.1
Shaanxi,soybean,single,0.12
Shaanxi,soybean,spring,0.03
Shaanxi,wheat,spring,0.105
Shaanxi,wheat,winter,0.245
Shandong,maize,spring,0.135
Shandong,maize,summer,0.315
Shandong,rice,single,0.1
Shandong,soybean,single,0.08
Shandong,soybean,spring,0.02
Shandong,wheat,winter,0.35
Shanghai,maize,single,0.105
Shanghai,maize,spring,0.0225
Shanghai,maize,summer,0.0225
Shanghai,rice,early_double,0.09
Shanghai,rice,late_double,0.09
Shanghai,rice,single,0.27
Shanghai,soybean,single,0.15
Shanghai,wheat,winter,0.25
Shanxi,maize,single,0.08
Shanxi,maize,spring,0.2
Shanxi,maize,summer,0.12
Shanxi,rice,single,0.05
Shanxi,soybean,single,0.16
Shanxi,soybean,spring,0.04
Shanxi,wheat,spring,0.105
Shanxi,wheat,winter,0.245
Sichuan,maize,single,0.14
Sichuan,maize,spring,0.03
Sichuan,maize,summer,0.03
Sichuan,rice,single,0.3825
Sichuan,rice,spring,0.0675
Sichuan,soybean,single,0.15
Sichuan,wheat,winter,0.2
Tianjin,maize,spring,0.12
Tianjin,maize,summer,0.28
Tianjin,rice,single,0.1
Tianjin,soybean,single,0.12
Tianjin,soybean,spring,0.03
Tianjin,wheat,spring,0.105
Tianjin,wheat,winter,0.245
Tibet,maize,single,0.03
Tibet,maize,spring,0.12
Tibet,rice,single,0.05
Tibet,soybean,single,0.12
Tibet,soybean,spring,0.03
Tibet,wheat,spring,0.52
Tibet,wheat,winter,0.13
Xinjiang,maize,single,0.06
Xinjiang,maize,spring,0.24
Xinjiang,rice,single,0.1
Xinjiang,soybean,single,0.12
Xinjiang,soybean,spring,0.03
Xinjiang,wheat,spring,0.36
Xinjiang,wheat,winter,0.09
Yunnan,maize,single,0.21
Yunnan,maize,spring,0.045
Yunnan,maize,summer,0.045
Yunnan,rice,single,0.34
Yunnan,rice,spring,0.06
Yunnan,soybean,single,0.15
Yunnan,wheat,winter,0.15
Zhejiang,maize,single,0.07
Zhejiang,maize,spring,0.015
Zhejiang,maize,summer,0.015
Zhejiang,rice,early_double,0.14
Zhejiang,rice,late_double,0.14
Zhejiang,rice,single,0.42
Zhejiang,soybean,single,0.1
Zhejiang,wheat,winter,0.1
