i,c,system,value
Anhui,maize,spring,60
Anhui,maize,summer,121
Anhui,rice,single,91
Anhui,soybean,single,121
Anhui,wheat,winter,244
Beijing,maize,spring,60
Beijing,maize,summer,121
Beijing,rice,single,91
Beijing,soybean,single,121
Beijing,wheat,winter,244
Chongqing,maize,spring,60
Chongqing,rice,single,91
Chongqing,soybean,single,121
Chongqing,wheat,winter,244
Fujian,maize,spring,60
Fujian,rice,single,91
Fujian,rice,early_double,60
Fujian,rice,late_double,152
Fujian,soybean,single,121
Fujian,wheat,winter,244
Gansu,maize,spring,60
Gansu,rice,single,91
Gansu,soybean,single,121
Gansu,wheat,winter,244
Guangdong,maize,spring,60
Guangdong,rice,single,91
Guangdong,rice,early_double,60
Guangdong,rice,late_double,152
Guangdong,soybean,single,121
Guangxi,maize,spring,60
Guangxi,rice,single,91
Guangxi,rice,early_double,60
Guangxi,rice,late_double,152
Guangxi,soybean,single,121
Guizhou,maize,spring,60
Guizhou,rice,single,91
Guizhou,soybean,single,121
Guizhou,wheat,winter,244
Hainan,maize,spring,60
Hainan,rice,single,91
Hainan,rice,early_double,60
Hainan,rice,late_double,152
Hainan,soybean,single,121
Hebei,maize,spring,60
Hebei,maize,summer,121
Hebei,rice,single,91
Hebei,soybean,single,121
Hebei,wheat,winter,244
Heilongjiang,maize,spring,60
Heilongjiang,rice,single,91
Heilongjiang,soybean,single,121
Heilongjiang,wheat,spring,91
Henan,maize,spring,60
Henan,maize,summer,121
Henan,rice,single,91
Henan,soybean,single,121
Henan,wheat,winter,244
Hubei,maize,spring,60
Hubei,maize,summer,121
Hubei,rice,single,91
Hubei,soybean,single,121
Hubei,wheat,winter,244
Hunan,maize,spring,60
Hunan,rice,single,91
Hunan,rice,early_double,60
Hunan,rice,late_double,152
Hunan,soybean,single,121
Hunan,wheat,winter,244
Inner_Mongolia,maize,spring,60
Inner_Mongolia,rice,single,91
Inner_Mongolia,soybean,single,121
Inner_Mongolia,wheat,spring,91
Jiangsu,maize,spring,60
Jiangsu,maize,summer,121
Jiangsu,rice,single,91
Jiangsu,soybean,single,121
Jiangsu,wheat,winter,244
Jiangxi,maize,spring,60
Jiangxi,rice,single,91
Jiangxi,rice,early_double,60
Jiangxi,rice,late_double,152
Jiangxi,soybean,single,121
Jiangxi,wheat,winter,244
Jilin,maize,spring,60
Jilin,rice,single,91
Jilin,soybean,single,121
Jilin,wheat,spring,91
Liaoning,maize,spring,60
Liaoning,rice,single,91
Liaoning,soybean,single,121
Liaoning,wheat,spring,91
Ningxia,maize,spring,60
Ningxia,rice,single,91
Ningxia,soybean,single,121
Ningxia,wheat,winter,244
Qinghai,maize,spring,60
Qinghai,soybean,single,121
Qinghai,wheat,spring,91
Shaanxi,maize,spring,60
Shaanxi,maize,summer,121
Shaanxi,rice,single,91
Shaanxi,soybean,single,121
Shaanxi,wheat,winter,244
Shandong,maize,spring,60
Shandong,maize,summer,121
Shandong,rice,single,91
Shandong,soybean,single,121
Shandong,wheat,winter,244
Shanghai,maize,spring,60
Shanghai,rice,single,91
Shanghai,soybean,single,121
Shanghai,wheat,winter,244
Shanxi,maize,spring,60
Shanxi,maize,summer,121
Shanxi,rice,single,91
Shanxi,soybean,single,121
Shanxi,wheat,winter,244
Sichuan,maize,spring,60
Sichuan,rice,single,91
Sichuan,soybean,single,121
Sichuan,wheat,winter,244
Tianjin,maize,spring,60
Tianjin,maize,summer,121
Tianjin,rice,single,91
Tianjin,soybean,single,121
Tianjin,wheat,winter,244
Tibet,maize,spring,60
Tibet,rice,single,91
Tibet,soybean,single,121
Tibet,wheat,spring,91
Xinjiang,maize,spring,60
Xinjiang,rice,single,91
Xinjiang,soybean,single,121
Xinjiang,wheat,spring,91
Yunnan,maize,spring,60
Yunnan,rice,single,91
Yunnan,soybean,single,121
Yunnan,wheat,winter,244
Zhejiang,maize,spring,60
Zhejiang,rice,single,91
Zhejiang,soybean,single,121
Zhejiang,wheat,winter,244
