i,switch_frac
Anhui,0.0119881919495271
Beijing,0.0303031648048762
Chongqing,0.0119586154986892
Fujian,0.0088699403661674
Gansu,0.0201557082197703
Guangdong,0.0050098660752332
Guangxi,0.009025176107386
Guizhou,0.0206621438741018
Hainan,0.0108712106204654
Hebei,0.0115832008150044
Heilongjiang,0.0431862364604681
Henan,0.0074707449284327
Hubei,0.0168786045369156
Hunan,0.0072508918314362
Inner_Mongolia,0.0326581838882976
Jiangsu,0.0096442754319527
Jiangxi,0.0040488119335898
Jilin,0.0164608733313636
Liaoning,0.0192970234731491
Ningxia,0.0412795221155024
Qinghai,0.0600295893335415
Shaanxi,0.0114091941291545
Shandong,0.008302264570864
Shanghai,0.0366779356928993
Shanxi,0.02001125254582
Sichuan,0.0125999190638524
Tianjin,0.028579343973644
Tibet,0.0128622583820883
Xinjiang,0.0266717961528697
Yunnan,0.0219551289074956
Zhejiang,0.0204162468606272
