i,total_n
Anhui,0.0943
Beijing,0.0784
Chongqing,0.1266
Fujian,0.0939
Gansu,0.0817
Guangdong,0.0891
Guangxi,0.1095
Guizhou,0.153
Hainan,0.0867
Hebei,0.077
Heilongjiang,0.219
Henan,0.074
Hubei,0.1178
Hunan,0.1178
Inner_Mongolia,0.1054
Jiangsu,0.0845
Jiangxi,0.1023
Jilin,0.171
Liaoning,0.1117
Ningxia,0.0512
Qinghai,0.1546
Shaanxi,0.0777
Shandong,0.0696
Shanghai,0.0714
Shanxi,0.0689
Sichuan,0.179
Tianjin,0.06
Tibet,0.1434
Xinjiang,0.0629
Yunnan,0.1357
Zhejiang,0.1023
